REF;ID Ticket AgID;Richiesta;Risposta;Note Integrative
313;f1e62e00474b45cda7d6364e2fdf4898;"Sviluppando gli eservice ho notato alcune divergenze negli yaml, alcuni puramente formali ma altri sostanziali. Analizzando i retry di bo_to_et ho notato che GIUSTAMENTE ha fra i required i 3 campi (cui, operation e requester_administration) mentre le retry di bo_to_fo e bo_to_ri non hanno nessuna properties fra i required.
Si tratta di un errore?
Se sì quando sarà risolto? Dobbiamo attendere l'approved02?
Sviluppiamo client e service controllando queste casistiche anche se non esplicitate dalle openAPI?";"Si conferma che la retry esposte per FO e RI non riportano il vincolo required per gli attributi indicati. Provvederemo a sistemare il problema ma sarà disponibile nel branch approved02. Si consiglia di effettuare i controlli sulle componenti per garantire la corretta chiamata di retry.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
314;647b5066aa9d4051a36c8427c01b87c6;"La nostra amministrazione utilizza applicativi di back-office differenti che gestiscono istanze attivate presso i SUAP comunali.
Nel sistema proposto dai fornitori, per cui ogni sistema dispone di un proprio connettore che monitora le istanze interfacciandosi con il SSU, sia in ricezione che invio delle comunicazioni, è emersa una criticità riferita alla necessità di garantire coerenza della gestione documentale, evitando duplicazioni nelle registrazioni delle istanze attivate dai SUAP in entrata.
Secondo la logica di processo della gestione documentale, una comunicazione proveniente dal SUAP inerente ad un procedimento unico (associato a codice CUI) viene registrata al protocollo dell’ente ricevente una sola volta con smistamento verso le UO Responsabili per competenza.
Nell’ipotesi in cui una stessa istanza abbia necessità di ricevere più valutazioni/pareri/autorizzazioni ecc., di competenza dello stesso ente e i subprocedimenti connessi siano gestiti internamente da applicativi di BO differenti, potrebbe crearsi, scegliendo una architettura applicativa per cui ognuno di essi provvede con il proprio connettore a ricevere le istanze da catalogo SSU in autonomia, la condizione per cui tutti gli applicativi, tramite Web Services interni, richiedano a quello di protocollo, la registrazione in entrata della medesima istanza/comunicazione unica attivata dal SUAP, creando delle duplicazioni delle registrazioni non corrette.
Inoltre, nel caso in cui il sistema unico non sia ancora maturo nei dati a catalogo (implementazione completa di tutti i procedimenti di competenza a livello provinciale e delle UO competenti, oltre la sola AOO), si potrebbe determinare una impossibilità per i sistemi di BO in uso, leggendo descrittori non completi di tutti i dati utili, di individuare con certezza la propria competenza applicativa, andando di conseguenza a ricevere e registrare anche ove questo non sia necessario
In sede di valutazione sugli scenari più adeguati, una configurazione applicativa che appare coerente e resistente agli errori, garantendo una cooperazione applicativa non caotica tra sistemi (necessariamente adeguati agli stessi standard previsti dalle specifiche tecniche, per essere in condizioni di poter dialogare tra loro senza corrompere le informazioni), è quella secondo cui uno solo degli applicativi viene deputato alla gestione dei flussi in entrata (in questo caso la scelta, come conseguenza logica, è sul SW di gestione del protocollo e smistamento), smistando le istanze con connettori interni secondo decodifica ad es. dei codici IPA, ove disponibili, oppure manualmente dagli operatori di protocollo.
Per quanto riferito ai flussi in uscita invece, una gestione asincrona delle comunicazioni, per cui i flussi sono gestiti direttamente dai singoli BO tramite i propri connettori, sembra essere una soluzione coerente ed efficiente in modo che ogni BO possa anche contribuire ad integrare i dati del sistema e dei descrittori.
Si chiede pertanto un supporto tecnico e, se possibile, un eventuale confronto per meglio orientarci nella definizione delle scelte di implementazione e sviluppo del progetto.";"L'architettura SSU è composta da una componente Front-Offiche che offre una piattaforma ad un presentatore al fine di compilare le istanze, una componente Back-Office che ha il compito di effettuare delle verifiche e svolgere un ruolo da orchestratore delle istanze SUAP e infine ci sono gli Enti Terzi che devono avviare le loro istrutturie di competenza ed esprimere dei pareri.
Si precisa inoltre che i pareri degli Enti Terzi possono essere inviati, per ogni fattispecie dei procedimenti SUAP, ad una componente Back-Offiche che ha il compito di raccogliere tutti gli esiti, nonchè tutte le eventuali richieste, al fine di inoltrare al presentatore, mediante il Front-Office, i riscontri sul procedimento avviato.

Al fine di poter gestire in modo adeguato la vostra segnalazione, siamo a disposizione per un supporto diretto al fine di identificare la soluzione più adeguata nel rispetto delle Specifiche Tecniche.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
315;656f80c8447642b8a860b54e22ada247;"Il mime type dell'atto amministrativo da allegare per la convocazione della Conferenza dei Servizi Sincrona nello yaml è di tipo stringa senza alcun controllo. Ci confermate che rimarrà così o dobbiamo ipotizzare che possano esserci dei controlli in futuro così come avviene con gli altri mime type?
mime_type:
title: ""indica il formato dei dati previsto per l'atto amministrativo""
type: string
minLength: 1";"Non sono previste ulteriori considerazioni in merito al mime_type dell'atto amministrativo allegato alla convocazione della conferenza dei servizi sincrona. 

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
316;34a2613893414c2cbe5532b4de3a7d67;"Domanda per tecnici/programmatori:
Stiamo sviluppando un eclient che invoca il request_cui, inviando l'instanceDescriptor in allegato riceve la seguente risposta:
{
""code"": ""ERROR_400_001"",
""message"": ""incorrect request input""
}
Abbiamo fatto anche prove sostituendo 0 o """" al null degli attributi del CUI ma la risposta è la stessa.
Se togliamo completamente il cui (o mettiamo ""cui"": null) riceviamo invece la stessa risposta ma con l'iniziale maiuscola:
{
""code"": ""ERROR_400_001"",
""message"": ""Incorrect request input""
}
Non sappiamo se la lettera maiuscola può aiutarvi nella ricerca di una soluzione.";"Il  ""request_cui"" è un servizio esposto dal Catalogo al Front-Office, per tale motivo, si invita ad inviare tale segnalazione ad InfoCamere per risolvere eventuali problemi di integrazione col Catalogo SSU.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
317;n.a.;"[ Instance descriptor ]
come si costruisce l'instance descriptor corretto?  Immaginando di lavorare sul procedimento 1283:

I seguenti attributi li valorizza direttamente il FrontOffice

1        municipality         la sceglie l'utente
2        version         partiremo da 1
3        times         valorizziamo  ""start"":""2025-09-04"",

A questo punto dobbiamo assemblare anche le seguenti informazioni:
il regime amministrativo, usecase_procedings, forms, xsd, schematron, competent-administration
 
sono corrette le seguenti chiamate?

4        Regime amministrativo         GET /proceedings-administrative-regimes/1283
5        usecase_procedings           GET /proceeding/1283/00.00.00/usecase-proceedings
6        Foms          GET /proceedings-forms/1283
7        Xsd         GET /forms-xsds/{id_form_list}
 passandogli tuti gli id-forms recuperati dalla chiamata 5
8        Schematron         GET /forms-schematrons/{id_form_list} 
 passandogli tuti gli id-forms recuperati dalla chiamata 5
9        competent-administration         GET /proceeding/1283/00.00.00/003001/competent-administration
";"Di seguito i passaggi principali per la costruzione dell'instanceDescriptor:
1- recupero degli eventi della vita e della tipologia del procedimento amministrativo a partire dalla municipality invocando il path dell'OpenAPI meta ""/typologies-lifeevents?municipality={comune} ""
2- recupero del procedimento SUAP invocando il path dell'OpenAPI meta "" /proceedings?typology={typology}&lifeevent={lifeevent}&municipality={comune}""
3- recupero della fattispecie invocando il path dell'OpenAPI meta ""/proceeding/{proceeding_id}/{proceeding_version}/usecase-proceedings""
4- recupero di eventuali endoprocedimenti invocando il path dell'OpenAPI meta ""/usecase-proceedings/{usecase_proceedings_id}/{usecase_proceedings_version}/usecase-proceedings""
5- recupero del regime amministrativo (workflow): per ogni endoprocedimento recuperato a partire dalla fattispecie, il sistema deve recuperare l’elenco degli oggetti Times e Regimi Amministrativi associati alle fattispecie. Per determinare il Regime Amministrativo dell’Instance Descriptor, l’operatore di Front-Office dovrà identificare il regime più stringente. Il path da invocare è ""/proceedings-administrative-regimes/{id_proceeding_list}"" dell'OpenAPI meta
6- recupero dei form (moduli) invocando il path dell'OpenAPI meta ""/proceeding/{proceeding_id}/{proceeding_version}/form""
7- se il modulo è strutturato vanno recuperai i relativi validatori xsd e schematron invocando i seguenti path dell'OpenAPI meta ""/form/{form_id}/{form_version}/xsd"" e ""/form/{form_id}/{form_version}/schematron""
8- recupero degli allegati per ogni fattispecie invocando il path dell'openAPI meta ""/proceeding/{proceeding_id}/{proceeding_version}/attachments""
9- se gli allegati sono strutturati vanno recuperati i relativi validatori xsd e schematron invocando i seguenti path dell'OpenAPI meta ""/attachment/{attachment_id}/{attachment_version}/xsd"" e ""/attachment/{attachment_id}/{attachment_version}/schematron""
10- recupero dell'amministrazione competente invocando il path dell'OpenAPI meta ""/proceeding/{proceeding_id}/{proceeding_version}/{municipality}/competent-administration """;n.a.
318;n.a.;"[BLACK BOX]
il test viene eseguito su un procedimento che indichiamo noi o un procedimento scelto a caso? 
";Il test deve essere effettuato sul procedimento indicato nel Welcome kit fornito per effettuare i Black Box Test;n.a.
319;n.a.;"[ TEST_ERROR_503_001 ]
FO_TC_002
FO_TC_012
..
il test verificherà anche il caso in cui il nostro servizio Rest non sia raggiungibile o eventuali casistiche a valle del servizio Rest?
Giusto per capire se dobbiamo anche prevedere ( per il test ) di configurare un server nginx 
";I test di tipo 500 e 503 sono stati rimossi nel branch approved01 al fine di semplificare le BBT e non dover gestire eventuali disservizi dei server o forzare errori interni.;n.a.
320;n.a.;"[ TEST CASE  Relativi ai Token ]
FO_TC_005
FO_TC_007
...
Relativamente ai Token AgID-JWT-Signature e Pdnd (che immaginiamo sia sempre un token jwt ) 
Sono giustamente previsti i test di validazione dei token. Come otteniamo le chiavi pubbliche necessarie?
";"Al momento della richiesta di fruizione, l’ente dovrà condividere gli URL del servizio. Successivamente, IC approverà la fruizione e verranno resi disponibili i servizi necessari per la richiesta del JWT.

In ogni caso, per i test con BBT saranno forniti dei token da utilizzare all’interno del Welcome Kit. Questi token dovranno essere configurati nel sistema dell’ente come validi.";n.a.
321;n.a.;"[ TEST CASE Relativi al CUI ]
FO_TC_008 
FO_TC_020
...
quando un CUI è valido? 
Noi ci apprestiamo a validare le seguenti condizioni:

1- il context è una stringa e non deve contenere cifre numeriche?
2- la data non può essere precedente alla richiesta del cui
3- la data non può essere domani
4- il progressivo deve essere >0
5- il cui_uuid NOT_NULL
6- La struttura del CUI deve contenere tutti e quattro i field not null
";"I test indicati sono stati rimossi perchè le BBT non verificano più i codice di errore di tipo HTTP 500. 

Il CUI è valido se rispetta quanto dichiarato nel json-schema consultabile al seguente link di GitHub: https://github.com/AgID/specifiche-tecniche-DPR-160-2010/blob/approved01/json-schema/cui-schema.yaml
E' corretto inserire i controlli a livello applicativo (ad es. la data non può essere una data futura...) come precisato nella segnalazione.";n.a.
322;n.a.;"[ TEST CASE richiesta correzione/integrazione ]
FO_TC_046
FO_TC_058
FO_TC_046
FO_TC_110
FO_TC_111
I test case verificano che le richieste di correzione/integrazione siano valide.
Noi supponiamo le richieste debbano fare riferimento un CUI esistente e ancora in lavorazione cioè in uno stato ancora modificabile per esempio ""Presented"" che debba contenere almeno un elemento da correggere/integrare
";"I test indicati sono stati rimossi perchè le BBT non verificano più i codice di errore di tipo HTTP 500. 
 
Confermiamo ad ogni modo che è corretto verificare che l'instanceDescriptor si trovi in uno stato coerente con il tipo di operation testata. Il Welcome Kit è stato definito tenendo in considerazione delle precondizioni e degli oggetti negli stati corretti al fine di verificare con esattezza la buona riuscita del test.";n.a.
323;n.a.;"[ TEST CASE Rappresentation corretta ]
FO_TC_033
FO_TC_035
si riferisce alla corretta corrispondenza tra il tipo del documento richiesto xml, pdf ecc ed  il mime-type ? 
";"I test case FO_TC_033 e FO_TC_035 fanno riferimento alla corretta corrispondenza tra l'hash del documento richiesto e il valore inserito all'interno dell'if-match.

Nel caso di FO_TC_033 deve essere inserito un valore di if-match differente dall'hash del documento richiesto, al fine di verificare che la risposta attesa sia una Response HTTP 428.

Per comprendere meglio le tabelle BBT è consigliabile controllare anche le tabelle delle tipologie di errore presente al capitolo 8.6 delle Specifiche Tecniche";n.a.
324;n.a.;"Funzionamento della BBT
Quesiti su configurazione dei test
In merito alla configurazione della BBT per l’esecuzione dei test, vorremmo delle delucidazioni circa i valori da utilizzare per la configurazione del metodo getValidationTestInstance.
I quesiti sono i seguenti:
Il campo “componentName” come va valorizzato?
I campi “officeUO” e “officeAOO” come vanno valorizzati? Vanno specificati i riferimenti Regionali o di uno dei Comuni gestiti da Regione?
Il campo “user” come va valorizzato?
I campi “city” e “address” come vanno valorizzati?
Il campo “piva_fornitore” come va valorizzato?";La presente segnalazione deve essere risolta da InfoCamere in qualità di gestore della piattaforma per i Black Box Test.;n.a.
325;n.a.;"Relativamente alla compilazione della REQUEST_CUI, selezionando uno usecase (es: USEC-0001500), sono
associati più regimi amministrativi. Pertanto la sezione ""usecase_proceedings"" del REQUEST_CUI deve avere più
nodi figli. Questo comporta la compilazione del campo ""code"" per più volte sempre con lo stesso valore (USEC0001500) ?
Inoltre, la sezione TIMES è presente una sola volta, ma essendo in relazione al regime amministrativo può assumere
più valori distinti. Con quale di questi va compilata la sezione TIMES?";"L'attributo ""code"" presente a livello di ""usecase_proceedings"" all'interno dell'InstanceDescriptor è riconducibile all'ID della relativa fattispecie gestita nel Catalogo. La dipendenza tra due fattispecie, ovvero, una primaria con la relativa secondaria, viene mappata mediante l'entità ""endoproceeding"", sempre gestito nel Catalogo.
I tempi procedimentali sono indicati nel Catalogo a livello di fattispecie, sulla base di questi il BO SUAP crea l'oggetto Times presente nell'InstanceDescriptor per determinare i tempi di gestione dell'intero procedimento SUAP.";n.a.
326;n.a.;"Con quale valore va compilato il campo ""instance_description_version"" presente in alcuni e-service?";La versione dell'InstanceDescriptor è un intero e si suggerisce di partire sempre dalla versione 1. Tale valore verrà incrementato dal Catalogo ad ogni variazione di stato.;n.a.
327;n.a.;"Con quali valori vanno compilati i campi ""code"", ""ref"" e ""resourceid"" appartenenti all'oggetto ""instance_index"" presente in alcuni e-service?";"code: l'attributo riporta il codice della fattispecie a cui il documento è associato
ref: l'attributo riporta il ref del documento (attachment o instance) gestito nell'InstanceDescriotor. 
resource_id: l'attributo riporta il riferimento mediante il quale una componente può richiedere la risorsa mediante la chiamata ""/instance/{cui_uuid}/document/{resource_id}""";n.a.
328;n.a.;"Anche l'eservice REA per Backoffice SUAP ha smesso di funzionare. E' stato aperto un ticket per segnalare il
problema a cui è stato risposto ""il problema riscontrato riguarda la validazione del token JWS. In particolare, al fine di
evitare un forte accoppiamento tra le componenti, la chiave pubblica utilizzata per verificare la firma dei token deve
essere depositata su PDND ed essere recuperabile attraverso le opportune API di interoperabilità. Ai fini della
risoluzione della problematica, siamo a condividerLe il link alla issue mediante il quale è possibile richiedere lo switch
verso INTEGRITY_REST_02 https://github.com/AgID/specifiche-tecniche-DPR-160-2010/issues/164"".";Come indicato nella risposta di InfoCamere, il pattern di sicurezza da utilizzare è INTEGRITY_REST_02. Per gestire tale problematica è stata aperta una issue e il Gruppo Tecnico concorda nell'utilizzare tale pattern di sicurezza alla sua ultima versione attuale. Seguiranno comunicazioni ufficiali in merito ma al momento procediamo mediante tali segnalazioni durante gli incontri con le Community.;n.a.
